date,input_median,input_q1,input_q3,output_median,models,collected_at
2026-08-29,0.5,0.155,1.305,1.9,370,2026-08-29T05:18:03Z
2026-08-30,0.5,0.155,1.3025,1.9,370,2026-08-30T23:03:32Z
2026-08-31,0.5,0.155,1.3025,1.91,370,2026-08-31T12:44:24Z
2026-09-01,0.5,0.175,1.285,2.0,399,2026-09-01T00:18:38Z
2026-09-02,0.5,0.15,1.25,2.0,399,2026-09-02T22:56:34Z
2026-09-03,0.5,0.15,1.25,2.0,399,2026-09-03T22:55:50Z
2026-09-04,0.5,0.15,1.34,2.0,404,2026-09-04T22:43:08Z
2026-09-05,0.5,0.15,1.34,2.0,404,2026-09-05T22:34:33Z
2026-09-06,0.5,0.15,1.34,2.0,404,2026-09-06T22:37:34Z
2026-09-07,0.5,0.15,1.34,2.0,404,2026-09-07T23:14:28Z
2026-09-08,0.5,0.17,1.25,2.0,405,2026-09-08T23:06:24Z
2026-09-09,0.5,0.1787,1.2875,2.0,404,2026-09-09T22:52:00Z
2026-09-10,0.5,0.155,1.25,1.99,410,2026-09-10T22:53:34Z
2026-09-11,0.5,0.165,1.4187,2.0,416,2026-09-11T22:55:52Z
2026-09-12,0.5,0.15,1.4563,2.0,418,2026-09-12T22:45:36Z
